SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
3.06E+07,2.05E+08,480.67,2938,0.5,0,0.52
2.99E+07,1.99E+08,480.67,3070,0.5,0,0.52
2.99E+07,1.96E+08,480.67,3202,0.5,0,0.52
1.58E+07,1.59E+08,480.67,2666,0.5,0,0.54
1.78E+07,1.24E+08,480.67,2905,0.5,0,0.54
2.07E+07,1.32E+08,480.67,3090,0.5,0,0.54
2.41E+07,1.51E+08,480.67,3287,0.5,0,0.54
2.65E+07,1.60E+08,480.67,3428,0.5,0,0.54
2.94E+07,1.80E+08,480.67,3424,0.5,0,0.54
3.12E+07,1.88E+08,480.67,3323,0.5,0,0.54
3.25E+07,2.07E+08,480.67,3270,0.5,0,0.54
3.29E+07,2.18E+08,480.67,3227,0.5,0,0.54
3.20E+07,2.13E+08,480.67,3223,0.5,0,0.54
3.13E+07,2.16E+08,480.67,3175,0.5,0,0.54
2.99E+07,2.08E+08,480.67,3113,0.5,0,0.54
2.98E+07,2.05E+08,480.67,3088,0.5,0,0.54
3.02E+07,2.09E+08,480.67,3080,0.5,0,0.54
3.01E+07,2.04E+08,480.67,3018,0.5,0,0.54
2.98E+07,2.06E+08,480.67,2996,0.5,0,0.54
3.02E+07,2.10E+08,480.67,3039,0.5,0,0.54
3.07E+07,2.06E+08,480.67,3024,0.5,0,0.54
3.09E+07,2.10E+08,480.67,3041,0.5,0,0.54
3.08E+07,2.14E+08,480.67,3063,0.5,0,0.54
3.09E+07,2.18E+08,480.67,3065,0.5,0,0.54
3.06E+07,2.13E+08,480.67,3095,0.5,0,0.54
3.08E+07,2.11E+08,480.67,3098,0.5,0,0.54
3.13E+07,2.04E+08,480.67,3138,0.5,0,0.54
3.17E+07,2.15E+08,480.67,3038,0.5,0,0.54
3.09E+07,2.13E+08,480.67,3039,0.5,0,0.54
3.08E+07,2.19E+08,480.67,2965,0.5,0,0.54
3.03E+07,2.14E+08,480.67,2985,0.5,0,0.54
2.98E+07,2.11E+08,480.67,2998,0.5,0,0.54
2.98E+07,2.05E+08,480.67,3035,0.5,0,0.54
3.01E+07,2.02E+08,480.67,3055,0.5,0,0.54
3.11E+07,2.03E+08,480.67,3071,0.5,0,0.54
3.12E+07,2.06E+08,480.67,3065,0.5,0,0.54
3.17E+07,2.00E+08,480.67,3094,0.5,0,0.54
3.21E+07,2.11E+08,480.67,3141,0.5,0,0.54
3.22E+07,2.12E+08,480.67,3122,0.5,0,0.54
3.19E+07,2.11E+08,480.67,3155,0.5,0,0.54
3.26E+07,2.27E+08,480.67,3168,0.5,0,0.54
3.23E+07,2.35E+08,480.67,3217,0.5,0,0.54
3.25E+07,2.33E+08,480.67,3242,0.5,0,0.54
3.21E+07,2.25E+08,480.67,3198,0.5,0,0.54
3.18E+07,2.22E+08,480.67,3170,0.5,0,0.54
3.21E+07,2.22E+08,480.67,3173,0.5,0,0.54
3.27E+07,2.24E+08,480.67,3159,0.5,0,0.54
3.27E+07,2.31E+08,480.67,3166,0.5,0,0.54
3.23E+07,2.31E+08,480.67,3131,0.5,0,0.54
3.20E+07,2.19E+08,480.67,3126,0.5,0,0.54
3.14E+07,2.20E+08,480.67,3167,0.5,0,0.54
3.22E+07,2.26E+08,480.67,3129,0.5,0,0.54
3.26E+07,2.29E+08,480.67,3212,0.5,0,0.54
