SumBiomass,Lp50_pop,age_mat_pop,num_pop,Finput,CVg,Gamma
3.33E+06,238.67,1.9211,3167,0.5,0,0.52
3.29E+06,238.67,1.9093,3157,0.5,0,0.52
3.31E+06,238.67,1.9094,3123,0.5,0,0.52
3.31E+06,238.67,1.9104,3203,0.5,0,0.52
3.33E+06,238.67,1.8996,3202,0.5,0,0.52
3.28E+06,238.67,1.9239,3175,0.5,0,0.52
3.37E+06,238.67,1.9228,3164,0.5,0,0.52
3.37E+06,238.67,1.9129,3186,0.5,0,0.52
3.37E+06,238.67,1.9134,3189,0.5,0,0.52
3.30E+06,238.67,1.9174,3151,0.5,0,0.52
3.26E+06,238.67,1.9111,3165,0.5,0,0.52
3.21E+06,238.67,1.9209,3349,0.5,0,0.52
3.38E+06,238.67,1.909,3339,0.5,0,0.52
3.44E+06,238.67,1.9045,3296,0.5,0,0.52
3.38E+06,238.67,1.8975,3297,0.5,0,0.52
3.43E+06,238.67,1.9044,3254,0.5,0,0.52
3.42E+06,238.67,1.8991,3254,0.5,0,0.52
3.42E+06,238.67,1.8985,3228,0.5,0,0.52
3.41E+06,238.67,1.9126,3278,0.5,0,0.52
3.43E+06,238.67,1.908,3268,0.5,0,0.52
3.40E+06,238.67,1.9107,3290,0.5,0,0.52
3.43E+06,238.67,1.9132,3282,0.5,0,0.52
3.52E+06,238.67,1.9192,3246,0.5,0,0.52
3.48E+06,238.67,1.917,3188,0.5,0,0.52
3.37E+06,238.67,1.9025,3267,0.5,0,0.52
3.31E+06,238.67,1.9145,3189,0.5,0,0.52
3.27E+06,238.67,1.9134,3221,0.5,0,0.52
3.32E+06,238.67,1.9212,3212,0.5,0,0.52
3.34E+06,238.67,1.9111,3183,0.5,0,0.52
3.29E+06,238.67,1.909,3130,0.5,0,0.52
3.29E+06,238.67,1.9045,3199,0.5,0,0.52
3.34E+06,238.67,1.8981,3216,0.5,0,0.52
3.31E+06,238.67,1.9006,3216,0.5,0,0.52
3.27E+06,238.67,1.9105,3168,0.5,0,0.52
3.34E+06,238.67,1.9181,3164,0.5,0,0.52
3.32E+06,238.67,1.9151,3177,0.5,0,0.52
3.32E+06,238.67,1.9142,3225,0.5,0,0.52
3.35E+06,238.67,1.9168,3223,0.5,0,0.52
3.27E+06,238.67,1.9126,3236,0.5,0,0.52
3.39E+06,238.67,1.9136,3197,0.5,0,0.52
3.38E+06,238.67,1.9096,3284,0.5,0,0.52
3.40E+06,238.67,1.9232,3242,0.5,0,0.52
3.42E+06,238.67,1.9124,3289,0.5,0,0.52
3.45E+06,238.67,1.925,3291,0.5,0,0.52
3.45E+06,238.67,1.9319,3211,0.5,0,0.52
3.47E+06,238.67,1.9146,3178,0.5,0,0.52
3.30E+06,238.67,1.9179,3185,0.5,0,0.52
3.32E+06,238.67,1.9176,3110,0.5,0,0.52
3.28E+06,238.67,1.9087,3112,0.5,0,0.52
3.23E+06,238.67,1.9112,3161,0.5,0,0.52
3.32E+06,238.67,1.9087,3261,0.5,0,0.52
3.31E+06,238.67,1.9257,3223,0.5,0,0.52
1.12E+06,238.67,1.8686,2132,0.5,0,0.54
1.31E+06,238.67,1.898,2474,0.5,0,0.54
1.66E+06,238.67,1.9059,2740,0.5,0,0.54
2.02E+06,238.67,1.9288,2963,0.5,0,0.54
2.44E+06,238.67,1.9365,3107,0.5,0,0.54
2.69E+06,238.67,1.9451,3189,0.5,0,0.54
2.90E+06,238.67,1.9434,3270,0.5,0,0.54
3.01E+06,238.67,1.9511,3282,0.5,0,0.54
